ID,Module,Topic,DOK,Difficulty,Question,Answer,Tags
W1-201,Cell Anatomy,Membranous Organelles,1,2,What is rough ER?,A ribosome-studded membrane network that makes and packages proteins.,rough ER
W1-202,Cell Anatomy,Membranous Organelles,1,2,What is smooth ER?,A tubular membrane network without ribosomes that makes lipids and stores calcium.,smooth ER
W1-203,Cell Anatomy,Membranous Organelles,1,2,What is the Golgi apparatus?,"A stack of flattened membrane sacs that sorts, packages, and ships cell products.",Golgi apparatus
W1-204,Cell Anatomy,Membranous Organelles,1,2,What are lysosomes?,Membrane sacs of digestive enzymes that break down worn parts and debris.,lysosomes
W1-205,Cell Anatomy,Membranous Organelles,1,2,What are peroxisomes?,Membrane sacs of enzymes that neutralize toxins and free radicals.,peroxisomes
W1-206,Cell Anatomy,Membranous Organelles,1,2,What are mitochondria?,Double-membraned organelles that produce most of the cell’s ATP.,mitochondria
W1-207,Cell Anatomy,Membranous Organelles,1,2,What are vesicles?,Small membrane sacs that move substances within the cell.,vesicles
W1-208,Cell Anatomy,Non-membranous Organelles,1,2,What are ribosomes?,Tiny particles of RNA and protein that build proteins.,ribosomes
W1-209,Cell Anatomy,Non-membranous Organelles,1,2,Where can ribosomes be located?,Free in the cytosol or attached to rough ER.,ribosomes
W1-210,Cell Anatomy,Non-membranous Organelles,1,2,What is the cytoskeleton?,An internal protein framework that gives the cell shape and allows movement.,cytoskeleton
W1-211,Cell Anatomy,Cytoskeleton,1,2,What are microfilaments?,"The thinnest cytoskeletal fibers, made of actin.",microfilaments
W1-212,Cell Anatomy,Cytoskeleton,1,2,What do microfilaments do?,Support the cell surface and enable movement.,microfilaments
W1-213,Cell Anatomy,Cytoskeleton,1,2,What are intermediate filaments?,Rope-like cytoskeletal fibers that resist pulling forces and give the cell strength.,intermediate filaments
W1-214,Cell Anatomy,Cytoskeleton,1,2,What are microtubules?,The thickest cytoskeletal fibers; hollow tubes that form tracks for transport.,microtubules
W1-215,Cell Anatomy,Cytoskeleton,1,2,What is the centrosome?,A region near the nucleus that organizes microtubules.,centrosome
W1-216,Cell Anatomy,Cytoskeleton,1,2,What are centrioles?,"Paired rod-shaped structures within the centrosome, made of nine microtubule triplets in a 9+0 array.",centrioles
W1-217,Cell Anatomy,Cytoskeleton,1,2,What do centrioles organize during cell division?,The spindle.,centrioles; spindle
W1-218,Cell Anatomy,Endomembrane System,1,2,What is the endomembrane system?,"The connected route of nuclear envelope, ER, Golgi apparatus, vesicles, and lysosomes.",endomembrane system
W1-219,Cell Anatomy,Endomembrane System,1,2,Where does a secreted protein begin its path?,Rough ER.,secreted protein pathway
W1-220,Cell Anatomy,Endomembrane System,1,2,What carries a product from the ER to the Golgi apparatus?,A transport vesicle.,transport vesicle
W1-221,Cell Anatomy,Endomembrane System,1,2,"What organelle sorts, modifies, and packages a product?",Golgi apparatus.,Golgi apparatus
W1-222,Cell Anatomy,Endomembrane System,1,2,What carries a product from the Golgi to the plasma membrane?,A secretory vesicle.,secretory vesicle
W1-223,Cell Anatomy,Endomembrane System,1,2,What is exocytosis?,The exit point where a vesicle fuses with the plasma membrane and releases the product.,exocytosis
W1-224,Cell Anatomy,Endomembrane System,1,2,What is endocytosis?,"The reverse direction, where material is taken into the cell inside a newly formed vesicle.",endocytosis
W1-225,Cell Anatomy,Endomembrane System,1,2,What cytoskeletal structure acts as tracks for vesicles?,Microtubules.,microtubules; vesicles
W1-226,Cell Anatomy,Endomembrane System,1,2,What structure allows mRNA to leave the nucleus?,Nuclear pores.,nuclear pores
W1-227,Cell Anatomy,Organelle Comparison,2,3,Compare rough ER and smooth ER.,Rough ER has ribosomes and makes/packages proteins; smooth ER lacks ribosomes and makes lipids/stores calcium.,rough ER; smooth ER
W1-228,Cell Anatomy,Organelle Comparison,2,3,Compare lysosomes and peroxisomes.,Lysosomes digest worn parts and debris; peroxisomes neutralize toxins and free radicals.,lysosomes; peroxisomes
W1-229,Cell Anatomy,Organelle Comparison,2,3,Compare mitochondria and ribosomes by function.,Mitochondria produce ATP; ribosomes build proteins.,mitochondria; ribosomes
W1-230,Cell Anatomy,Organelle Comparison,2,3,Compare membranous and non-membranous organelles.,Membranous organelles are enclosed by membranes; non-membranous organelles are not membrane-bound.,organelles
W1-231,Cell Anatomy,Cytoskeleton,2,3,"Compare microfilaments, intermediate filaments, and microtubules.",Microfilaments are thinnest and actin-based; intermediate filaments resist tension; microtubules are thick hollow tracks.,cytoskeleton
W1-232,Cell Anatomy,Cytoskeleton,2,3,Why are microtubules important for intracellular transport?,They form tracks that vesicles can follow between organelles.,microtubules; transport
W1-233,Cell Anatomy,Endomembrane System,2,3,Trace a secreted protein through the endomembrane system.,Rough ER → transport vesicle → Golgi apparatus → secretory vesicle → plasma membrane → exocytosis.,secreted protein pathway
W1-234,Cell Anatomy,Endomembrane System,2,3,Why is the Golgi apparatus a mid-path stop?,"It sorts, modifies, and packages products before shipping them onward.",Golgi apparatus
W1-235,Cell Anatomy,Endomembrane System,2,3,How does exocytosis differ from endocytosis?,Exocytosis releases material out of the cell; endocytosis brings material into the cell.,exocytosis; endocytosis
W1-236,Cell Anatomy,Endomembrane System,2,3,Why is the nuclear envelope included in the endomembrane system?,It is continuous with rough ER and participates in membrane-connected traffic.,nuclear envelope; ER
W1-237,Cell Anatomy,Cell Specialization,1,2,How are muscle cells structurally adapted for their job?,They are long and packed with mitochondria.,muscle cell
W1-238,Cell Anatomy,Cell Specialization,1,2,Why do muscle cells need many mitochondria?,"Contraction demands a constant, heavy supply of ATP.",muscle cell; mitochondria
W1-239,Cell Anatomy,Cell Specialization,1,2,How are red blood cells structurally adapted for their job?,They lose their nucleus and organelles.,red blood cell
W1-240,Cell Anatomy,Cell Specialization,1,2,Why does a red blood cell lose its nucleus and organelles?,To free interior space for oxygen-carrying contents.,red blood cell
W1-241,Cell Anatomy,Cell Specialization,1,2,How are white blood cells structurally adapted for their job?,They change shape freely.,white blood cell
