Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W1-101,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the superior boundary of the mediastinum?,"The superior thoracic aperture, also called the thoracic inlet.","The thoracic inlet is the narrow superior opening of the thorax, the mediastinum's upper edge.",Confusing the thoracic inlet with the diaphragm.,mediastinum; boundaries
W1-102,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the inferior boundary of the mediastinum?,The diaphragm.,The diaphragm forms the inferior boundary of both the mediastinum and the thoracic cavity.,Thinking the mediastinum extends below the diaphragm.,mediastinum; boundaries
W1-103,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the anterior boundary of the mediastinum?,The sternum.,The sternum forms the anterior wall the mediastinum sits behind.,Placing the sternum at the back of the mediastinum.,mediastinum; boundaries
W1-104,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the posterior boundary of the mediastinum?,The bodies of thoracic vertebrae T1 through T12.,The bodies of T1 to T12 form the posterior wall of the mediastinum.,Naming the sternum as the posterior boundary.,mediastinum; boundaries
W1-105,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What are the lateral boundaries of the mediastinum?,"The mediastinal pleura, the medial wall of each pleural cavity.","The mediastinal pleura, the inner wall of each pleural sac, bounds the mediastinum on each side.",Thinking the lungs themselves are the lateral boundary.,mediastinum; boundaries
W1-106,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What plane divides the superior and inferior mediastinum?,The transverse thoracic plane.,The transverse thoracic plane separates the superior mediastinum above from the inferior mediastinum below.,Confusing this plane with the diaphragm.,mediastinum
W1-107,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What landmarks define the transverse thoracic plane?,It runs from the sternal angle to the disc between T4 and T5.,"This plane runs from the sternal angle to the disc between T4 and T5, a key surface landmark.",Forgetting the sternal angle marks this level.,mediastinum; transverse thoracic plane
W1-108,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What are the four mediastinal compartments?,"Superior, anterior, middle, and posterior mediastinum.","The four compartments are the superior plus the three of the inferior mediastinum: anterior, middle, posterior.",Listing only three compartments and omitting the superior.,mediastinum; compartments
W1-109,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,Where is the superior mediastinum located?,Above the transverse thoracic plane.,"The superior mediastinum lies above the transverse thoracic plane, holding the aortic arch and trachea.",Placing the superior mediastinum below the sternal angle.,superior mediastinum
W1-110,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,Where is the anterior mediastinum located?,Between the body of the sternum and the pericardium.,The anterior mediastinum is the thin space between the sternal body and the pericardium.,Confusing the anterior with the middle mediastinum.,anterior mediastinum
W1-111,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,Where is the middle mediastinum located?,The pericardium and the structures within it.,The middle mediastinum is defined by the pericardium and everything inside it.,Thinking the middle mediastinum excludes the heart.,middle mediastinum
W1-112,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,Where is the posterior mediastinum located?,Between the pericardium and the thoracic vertebral column.,The posterior mediastinum lies behind the pericardium against the thoracic spine.,Confusing posterior with anterior mediastinum.,posterior mediastinum
W1-113,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,Name one major structure in the superior mediastinum.,"Arch of the aorta, trachea, esophagus, thoracic duct, thymus, phrenic nerves, or vagus nerves.","The superior mediastinum carries the aortic arch, trachea, esophagus, thoracic duct, thymus, and phrenic and vagus nerves.",Placing the heart in the superior mediastinum.,superior mediastinum
W1-114,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,Name one major structure in the middle mediastinum.,"Heart, pericardium, ascending aorta, pulmonary trunk, main bronchi, lower SVC, or phrenic nerves.",The middle mediastinum holds the heart in its pericardium plus the roots of the great vessels.,Forgetting the heart defines the middle mediastinum.,middle mediastinum
W1-115,Week 1,Body Cavities,Body Cavities,Mediastinum,Mediastinum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,Name one major structure in the posterior mediastinum.,"Descending thoracic aorta, esophagus, thoracic duct, azygos veins, sympathetic trunks, or vagus nerves.","The posterior mediastinum carries the descending aorta, esophagus, thoracic duct, azygos veins, and sympathetic trunks.",Placing the ascending aorta in the posterior mediastinum.,posterior mediastinum
W1-116,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the peritoneum?,The serous membrane of the abdominopelvic cavity.,"The peritoneum is the serous membrane of the abdominopelvic cavity, the largest in the body.",Confusing the peritoneum with the pleura.,peritoneum
W1-117,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is parietal peritoneum?,Peritoneum lining the wall of the abdominopelvic cavity.,"Parietal peritoneum lines the abdominopelvic wall, mirroring parietal pleura and pericardium.",Swapping parietal and visceral peritoneum.,parietal peritoneum
W1-118,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is visceral peritoneum?,Peritoneum wrapping the surface of abdominopelvic organs.,Visceral peritoneum wraps the organ surfaces within the cavity.,Confusing visceral with parietal peritoneum.,visceral peritoneum
W1-119,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the peritoneal cavity?,"The potential space between peritoneal layers, holding a thin film of serous fluid.",The peritoneal cavity is a potential space holding only a thin film of serous fluid.,Thinking the peritoneal cavity is a large open space full of organs.,peritoneal cavity
W1-120,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is a mesentery?,A double fold of peritoneum that slings an organ from the body wall and carries vessels and nerves.,A mesentery slings an organ from the body wall and carries its blood vessels and nerves.,Thinking a mesentery is solid tissue rather than a double peritoneal fold.,mesentery
W1-121,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the greater omentum?,An apron of peritoneum hanging from the greater curvature of the stomach.,The greater omentum hangs like an apron from the greater curvature of the stomach.,Confusing the greater with the lesser omentum.,greater omentum
W1-122,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the lesser omentum?,A fold linking the lesser curvature of the stomach and the duodenum to the liver.,The lesser omentum links the stomach's lesser curvature and the duodenum to the liver.,Confusing the lesser with the greater omentum.,lesser omentum
W1-123,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What is the mesocolon?,A peritoneal fold anchoring the transverse and sigmoid colon.,The mesocolon anchors the transverse and sigmoid colon to the posterior wall.,Thinking all of the colon is intraperitoneal.,mesocolon
W1-124,Week 1,Body Cavities,Body Cavities,Peritoneum,Peritoneum,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What are peritoneal recesses?,"Low points of the peritoneal cavity where fluid, blood, or pus can collect.","Peritoneal recesses are low points where fluid, blood, or pus pool, so body position matters when looking for free fluid.",Ignoring that gravity pools fluid in recesses.,peritoneal recesses
W1-125,Week 1,Body Cavities,Body Cavities,Peritoneal Relationships,Peritoneal Relationships,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What does intraperitoneal mean?,Almost completely wrapped in visceral peritoneum and slung by a mesentery.,"Intraperitoneal organs are nearly wrapped in visceral peritoneum and slung by a mesentery, so they are mobile.",Thinking intraperitoneal means literally floating free.,intraperitoneal
W1-126,Week 1,Body Cavities,Body Cavities,Peritoneal Relationships,Peritoneal Relationships,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What does retroperitoneal mean?,Located behind the parietal peritoneum against the posterior abdominal wall.,"Retroperitoneal organs sit behind the parietal peritoneum against the posterior wall, so they are fixed.",Thinking retroperitoneal organs are outside the body cavity.,retroperitoneal
W1-127,Week 1,Body Cavities,Body Cavities,Peritoneal Relationships,Peritoneal Relationships,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,Name one intraperitoneal organ.,"Stomach, liver, gallbladder, spleen, first duodenum, jejunum, ileum, transverse colon, sigmoid colon, cecum, appendix, or pancreatic tail.","The stomach, liver, spleen, and much of the intestine are intraperitoneal.",Listing the kidneys as intraperitoneal.,intraperitoneal
W1-128,Week 1,Body Cavities,Body Cavities,Peritoneal Relationships,Peritoneal Relationships,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,What memory aid identifies retroperitoneal structures?,SADPUCKER.,"SADPUCKER lists the retroperitoneal structures, each letter one organ or vessel.",Using SADPUCKER for intraperitoneal organs.,retroperitoneal; SADPUCKER
W1-129,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does S stand for?",Suprarenal glands.,"The suprarenal (adrenal) glands cap each kidney, both retroperitoneal.",Forgetting the adrenal glands are retroperitoneal.,SADPUCKER
W1-130,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does A stand for?",Aorta and IVC.,The abdominal aorta and IVC run retroperitoneally down the posterior wall.,Thinking the great vessels are intraperitoneal.,SADPUCKER
W1-131,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does D stand for?","Duodenum, specifically the second, third, and fourth parts.",The second through fourth parts of the duodenum are retroperitoneal; the first part is not.,Calling the whole duodenum retroperitoneal.,SADPUCKER
W1-132,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does P stand for?","Pancreas, specifically the head, neck, and body.","The pancreatic head, neck, and body are retroperitoneal; the tail is intraperitoneal.",Calling the entire pancreas retroperitoneal.,SADPUCKER
W1-133,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does U stand for?",Ureters.,Both ureters run retroperitoneally down the posterior wall.,Placing the ureters in the peritoneal cavity.,SADPUCKER
W1-134,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does C stand for?","Colon, specifically ascending and descending colon.",The ascending and descending colon are retroperitoneal; the transverse and sigmoid are intraperitoneal.,Calling all of the colon retroperitoneal.,SADPUCKER
W1-135,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does K stand for?",Kidneys.,Both kidneys sit retroperitoneally in perirenal fat.,Thinking the kidneys are intraperitoneal.,SADPUCKER
W1-136,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does E stand for?","Esophagus, the short abdominal segment below the diaphragm.",Only the short abdominal segment of the esophagus below the diaphragm is retroperitoneal.,Thinking the whole esophagus is retroperitoneal.,SADPUCKER
W1-137,Week 1,Body Cavities,Body Cavities,SADPUCKER,SADPUCKER,"Distinguish the body cavities and serous membranes, map the mediastinum, and locate abdominopelvic organs by region and quadrant.",2,1,core,"In SADPUCKER, what does R stand for?","Rectum, the lower portion below the peritoneal reflection.","The lower rectum, below the peritoneal reflection, is retroperitoneal.",Calling the entire rectum intraperitoneal.,SADPUCKER
