Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W2-101,Week 2,Skeletal,Skull,Skull Overview,Bone count,Distinguish the cranial bones from the facial bones and name the bones in each group.,2,1,core,How many bones make up the skull?,22 bones.,The hyoid is associated with the skull but counted separately.,Counting the hyoid among the 22.,skull; overview
W2-102,Week 2,Skeletal,Skull,Skull Overview,Cranial count,Distinguish the cranial bones from the facial bones and name the bones in each group.,2,1,core,"How many cranial bones are there, and what do they do?",Eight; they enclose and protect the brain.,The cranium is the braincase.,Confusing the cranial count with the facial count.,skull; cranium
W2-103,Week 2,Skeletal,Skull,Skull Overview,Facial count,Distinguish the cranial bones from the facial bones and name the bones in each group.,2,1,core,"How many facial bones are there, and what do they do?",Fourteen; they frame the face and hold the teeth.,The facial skeleton is the viscerocranium.,Miscounting the facial bones.,skull; facial bones
W2-104,Week 2,Skeletal,Skull,Skull Overview,Cranium vs face,Distinguish the cranial bones from the facial bones and name the bones in each group.,4,2,core,Compare the cranium and facial skeleton by role.,The cranium encloses the brain; the facial skeleton frames the face and holds the teeth.,"Two groups, two jobs.",Thinking facial bones protect the brain.,skull; cranium; facial bones
W2-105,Week 2,Skeletal,Skull,Skull Overview,Calvaria,Distinguish the cranial bones from the facial bones and name the bones in each group.,2,1,core,What is the calvaria?,"The domed roof of the cranium, the skullcap.",It is the part removed to expose the brain.,Confusing the calvaria with the cranial base.,skull; calvaria
W2-106,Week 2,Skeletal,Skull,Skull Overview,Cranial base,Distinguish the cranial bones from the facial bones and name the bones in each group.,4,2,core,"What is the cranial base, and how is it shaped?","The floor of the cranium, shaped into anterior, middle, and posterior cranial fossae.",The brain sits in these three fossae.,Thinking the cranial base is flat.,skull; cranial base; fossae
W2-107,Week 2,Skeletal,Skull,Skull Overview,Hyoid,Distinguish the cranial bones from the facial bones and name the bones in each group.,2,1,core,Which head bone is associated with the skull but counted separately?,The hyoid bone.,It does not articulate with any other bone.,Including the hyoid in the 22 skull bones.,skull; hyoid
W2-108,Week 2,Skeletal,Skull,Skull Overview,Two groups,Distinguish the cranial bones from the facial bones and name the bones in each group.,6,3,core,A skull has 22 bones in two functional groups. Name the groups and their jobs.,"Cranium (8, encloses the brain) and facial skeleton (14, frames the face and holds teeth).",Grouping the bones by function organizes the whole skull.,Merging the two groups into one.,skull; overview; board
W2-109,Week 2,Skeletal,Skull,Cranial Bones,Single bones,Distinguish the cranial bones from the facial bones and name the bones in each group.,2,1,core,Which four cranial bones are single (unpaired)?,"The frontal, occipital, sphenoid, and ethmoid.",The other two cranial bones are paired.,Thinking the parietal bone is single.,skull; cranial bones
W2-110,Week 2,Skeletal,Skull,Cranial Bones,Paired bones,Distinguish the cranial bones from the facial bones and name the bones in each group.,2,1,core,Which two cranial bones are paired?,The parietal and temporal bones.,Everything else in the cranium is single.,Calling the frontal bone paired.,skull; cranial bones
W2-111,Week 2,Skeletal,Skull,Cranial Bones,Frontal region,Distinguish the cranial bones from the facial bones and name the bones in each group.,4,2,core,What region does the frontal bone form?,"The forehead, the roof of the orbits, and the floor of the anterior cranial fossa.",One bone spans forehead and orbital roofs.,Thinking the frontal bone forms the back of the skull.,skull; frontal bone
W2-112,Week 2,Skeletal,Skull,Cranial Bones,Parietal region,Distinguish the cranial bones from the facial bones and name the bones in each group.,4,2,core,What do the parietal bones form?,The superior and lateral walls of the cranium.,They make up most of the cranial roof.,Confusing the parietal with the temporal walls.,skull; parietal bones
W2-113,Week 2,Skeletal,Skull,Cranial Bones,Temporal region,Distinguish the cranial bones from the facial bones and name the bones in each group.,4,2,core,What do the temporal bones form and house?,The inferior lateral walls and part of the cranial base; they house the ear.,The ear apparatus sits within the temporal bone.,Thinking the temporal bone forms the forehead.,skull; temporal bones
W2-114,Week 2,Skeletal,Skull,Cranial Bones,Occipital region,Distinguish the cranial bones from the facial bones and name the bones in each group.,4,2,core,What does the occipital bone form?,The posterior wall and much of the cranial base.,It surrounds the foramen magnum.,Placing the occipital bone at the front of the skull.,skull; occipital bone
W2-115,Week 2,Skeletal,Skull,Cranial Bones,Sphenoid keystone,Distinguish the cranial bones from the facial bones and name the bones in each group.,6,3,core,Why is the sphenoid called the keystone of the cranial floor?,It articulates with every other cranial bone.,Its central wedge locks the cranial base together.,Thinking the ethmoid articulates with every cranial bone.,skull; sphenoid
W2-116,Week 2,Skeletal,Skull,Cranial Bones,Ethmoid,Distinguish the cranial bones from the facial bones and name the bones in each group.,2,1,core,"Which cranial bone is the deepest, lying between the orbits?",The ethmoid.,It helps form the nasal cavity and orbital walls.,Confusing the ethmoid with the sphenoid.,skull; ethmoid
W2-117,Week 2,Skeletal,Skull,Cranial Bones,Classify frontal,Distinguish the cranial bones from the facial bones and name the bones in each group.,6,3,core,A single cranial bone forms the forehead and the orbital roofs. Which bone?,The frontal bone.,Forehead plus orbital roofs point to the frontal bone.,Guessing the parietal bone.,skull; frontal bone; classification
W2-118,Week 2,Skeletal,Skull,Cranial Bones,Classify temporal,Distinguish the cranial bones from the facial bones and name the bones in each group.,6,3,core,A paired cranial bone forms the lower lateral wall and houses the ear. Which bone?,The temporal bone.,Housing the ear is the temporal signature.,Guessing the parietal bone.,skull; temporal bones; classification
W2-119,Week 2,Skeletal,Skull,Cranial Bones,Classify sphenoid,Distinguish the cranial bones from the facial bones and name the bones in each group.,6,3,core,A single wedge-shaped bone articulates with every other cranial bone. Which bone?,The sphenoid.,Articulating with all is unique to the sphenoid.,Guessing the ethmoid.,skull; sphenoid; classification
W2-120,Week 2,Skeletal,Skull,Cranial Bones,Parietal vs temporal,Distinguish the cranial bones from the facial bones and name the bones in each group.,6,3,core,Compare the parietal and temporal bones by what they form.,Parietal bones form the superior and lateral cranial walls; temporal bones form the inferior lateral walls and house the ear.,Upper walls versus lower walls with the ear.,Swapping the two bones.,skull; parietal bones; temporal bones
W2-121,Week 2,Skeletal,Skull,Frontal Bone,Glabella,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",4,2,core,What is the glabella?,The smooth area between the eyebrow ridges on the frontal bone.,A palpable midline landmark.,Confusing the glabella with the supraorbital margin.,skull; frontal bone; glabella
W2-122,Week 2,Skeletal,Skull,Frontal Bone,Supraorbital foramen,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",4,2,core,What passes through the supraorbital foramen?,The supraorbital nerve and vessels.,It sits in the ridge above the orbit.,Thinking the optic nerve passes here.,skull; frontal bone; supraorbital foramen
W2-123,Week 2,Skeletal,Skull,Frontal Bone,Orbital plates,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",4,2,core,What are the orbital plates of the frontal bone?,The paired plates that roof the orbits and floor the anterior cranial fossa.,They separate the eyes from the frontal lobes.,Thinking they form the nasal cavity.,skull; frontal bone; orbital plates
W2-124,Week 2,Skeletal,Skull,Frontal Bone,Frontal sinus,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",2,1,core,Where is the frontal sinus?,"Within the frontal bone, above the orbits.",It drains into the nasal cavity.,Placing the frontal sinus in the cheek.,skull; frontal bone; frontal sinus
W2-125,Week 2,Skeletal,Skull,Frontal Bone,Supraorbital margin,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",4,2,core,What is the supraorbital margin?,The ridge above each orbit on the frontal bone.,It carries the supraorbital foramen.,Confusing it with the infraorbital margin.,skull; frontal bone; supraorbital margin
W2-126,Week 2,Skeletal,Skull,Parietal Bones,Parietal eminence,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",3,1,core,What is the parietal eminence?,"The rounded high point of each parietal bone, the skull's widest measure.",It is a key landmark for skull width.,Thinking the eminence is a suture.,skull; parietal bones; eminence
W2-127,Week 2,Skeletal,Skull,Parietal Bones,Sagittal suture,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,At which suture do the two parietal bones meet each other?,The sagittal suture.,It runs along the midline of the skull roof.,Confusing the sagittal with the coronal suture.,skull; parietal bones; sagittal suture
W2-128,Week 2,Skeletal,Skull,Parietal Bones,Coronal suture,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,The parietal bones form which suture with the frontal bone?,The coronal suture.,It runs across the top behind the forehead.,Naming the lambdoid suture.,skull; parietal bones; coronal suture
W2-129,Week 2,Skeletal,Skull,Temporal Bone,Zygomatic arch,"Identify the significant markings on each cranial and facial bone, and the major sutures and fontanelles.",5,2,core,"What completes the zygomatic arch, and what is the temporal contribution?",The temporal bone's zygomatic process joins the zygomatic bone to complete the arch.,The arch is a bridge of two bones.,Thinking the arch is a single bone.,skull; temporal bone; zygomatic arch
