Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Tier,Question,Answer,Explanation,Common Misconception,Tags
W2-201,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Bone count,Name the regions of the vertebral column and the number of vertebrae in each.,2,1,core,How many bones are in the adult vertebral column?,26: 24 separate vertebrae plus the sacrum and coccyx.,"33 in development, with sacral and coccygeal vertebrae fusing.",Counting 33 bones in the adult.,spine; overview
W2-202,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Cervical,Name the regions of the vertebral column and the number of vertebrae in each.,2,1,core,"How many cervical vertebrae are there, and where?","Seven (C1 to C7), in the neck.",The neck holds the smallest vertebrae.,Miscounting the cervical vertebrae.,spine; cervical
W2-203,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Thoracic,Name the regions of the vertebral column and the number of vertebrae in each.,2,1,core,"How many thoracic vertebrae are there, and what do they articulate with?",Twelve (T1 to T12); each articulates with a pair of ribs.,Rib joints define the thoracic region.,Forgetting the rib articulation.,spine; thoracic
W2-204,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Lumbar,Name the regions of the vertebral column and the number of vertebrae in each.,2,1,core,"How many lumbar vertebrae are there, and where?","Five (L1 to L5), in the lower back.",These are the largest movable vertebrae.,Miscounting the lumbar vertebrae.,spine; lumbar
W2-205,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Sacrum,Name the regions of the vertebral column and the number of vertebrae in each.,4,2,core,What is the sacrum?,A single triangular bone of five fused vertebrae wedged between the hip bones.,Fusion turns five vertebrae into one bone.,Thinking the sacrum stays five separate bones in adults.,spine; sacrum
W2-206,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Coccyx,Name the regions of the vertebral column and the number of vertebrae in each.,4,2,core,What is the coccyx?,"The tailbone, four fused vertebrae.",A small fused remnant at the base.,Thinking the coccyx has many separate bones.,spine; coccyx
W2-207,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Region order,Name the regions of the vertebral column and the number of vertebrae in each.,4,2,core,"List the five regions of the vertebral column, superior to inferior.","Cervical, thoracic, lumbar, sacrum, coccyx.",The column runs neck to tailbone.,Reversing the order of the regions.,spine; regions
W2-208,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Count comparison,Name the regions of the vertebral column and the number of vertebrae in each.,4,2,core,Compare the cervical and lumbar regions by vertebra count.,Cervical has seven; lumbar has five.,Different counts for different jobs.,Swapping the two counts.,spine; cervical; lumbar
W2-209,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Discs,Name the regions of the vertebral column and the number of vertebrae in each.,4,2,core,"What are intervertebral discs made of, and where do they sit?",Fibrocartilage pads between adjacent vertebral bodies.,Fibrocartilage absorbs shock between bodies.,Thinking discs are hyaline cartilage.,spine; intervertebral disc
W2-210,Week 2,Skeletal,Vertebral Column and Thoracic Cage,Column Overview,Classify thoracic,Name the regions of the vertebral column and the number of vertebrae in each.,4,2,core,A region has 12 vertebrae that each articulate with ribs. Which region?,Thoracic.,Rib joints mark the thoracic region.,Guessing lumbar.,spine; thoracic; classification
