Card ID,Week,System,Module,Topic,Subtopic,Learning Objective,Difficulty,Depth of Knowledge,Question,Answer,Explanation,Common Misconception,Tags
W1-201,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What is rough ER?,A ribosome-studded membrane network that makes and packages proteins.,,,rough ER
W1-202,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What is smooth ER?,A tubular membrane network without ribosomes that makes lipids and stores calcium.,,,smooth ER
W1-203,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What is the Golgi apparatus?,"A stack of flattened membrane sacs that sorts, packages, and ships cell products.",,,Golgi apparatus
W1-204,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are lysosomes?,Membrane sacs of digestive enzymes that break down worn parts and debris.,,,lysosomes
W1-205,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are peroxisomes?,Membrane sacs of enzymes that neutralize toxins and free radicals.,,,peroxisomes
W1-206,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are mitochondria?,Double-membraned organelles that produce most of the cell’s ATP.,,,mitochondria
W1-207,Week 1,Cell Anatomy,Cell Anatomy,Membranous Organelles,Membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are vesicles?,Small membrane sacs that move substances within the cell.,,,vesicles
W1-208,Week 1,Cell Anatomy,Cell Anatomy,Non-membranous Organelles,Non-membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What are ribosomes?,Tiny particles of RNA and protein that build proteins.,,,ribosomes
W1-209,Week 1,Cell Anatomy,Cell Anatomy,Non-membranous Organelles,Non-membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,Where can ribosomes be located?,Free in the cytosol or attached to rough ER.,,,ribosomes
W1-210,Week 1,Cell Anatomy,Cell Anatomy,Non-membranous Organelles,Non-membranous Organelles,Identify the parts of the generalized cell and trace how materials move through the endomembrane system.,2,1,What is the cytoskeleton?,An internal protein framework that gives the cell shape and allows movement.,,,cytoskeleton
